,name,price,sku
245,Heavy Duty Rear Cradle Mount,$22.50,18-1106
246,Heavy Duty Shift Coupler,$22.90,16-5105
247,Heavy Duty Stainless Throttle Cable,$18.50,B5-5101-0
248,High Performance Oil Cooler,$234.90,00-9290
249,High Range Fuel Tank,$139.90,95-2004
250,Hub Cap Puller,$3.50,98-0113
251,"Hub Cap, Nipple Style 5 Lug without Logo",$12.50,10-1057
252,ICT & EPC Tall Manifolds,$124.90,43-5216
253,Ignition Spark Plug Wires - Best on the market !!!,$27.50,98-9925
254,Ignition Switch Electrical Portion,$12.90,98-9052
255,In Line Fuel Pump With Filter 12v or 6v,$79.90,41-2604-7
256,In-Car Valve Spring Removal Tool,$99.90,00-5747
257,IRS Custom Torsion Housing Mounts,$24.90,16-9924
258,IRS Inner Bearing Clip,$2.75,N0123191
259,Kick Panel Set,$59.90,98-8973
260,King Pin Bushing Kit,$34.50,111498021
261,King Pin Reamer,$139.95,Ream
262,KYB Gas Adjust Shocks,From $54.90 to $59.90,
263,KYB Shocks,From $27.90 to $39.90,
264,Late Model Bumper Guard,$59.90,
265,Late Reservoir Master Grommets,$3.50,211611817A
266,Lifter Clips - Pair,$5.90,00-5759
267,Link Pin Rebuild Kit,$59.90,111498051A
268,Link Pin Spindle Kit,$19.90,LPSK
269,Linkage Ball Socket Ends,$14.50,43-1062
270,Linkage Down Rods - Different Lengths,$27.50,
271,Linkage Rod Extensions,$6.50,43-1063
272,Low Back Roadster Seat,,
273,Lug Bolts,$16.50,00-9565
274,Lug Bolts 12mm and 14mm Taper,From $12.90 to $14.90,
275,Lug Nuts 1/2-20 60 degree acorn (4),$4.90,00-9535
276,Lug Nuts 12mm,$7.90,00-9538
277,"Lug Nuts, Chrome 14mm (4) 60 degree",$14.90,70-2872-0
278,Master Cylinder for Disc Brakes,From $32.50 to $34.90,
279,Master Cylinder Reservoir Grommet,$3.50,113611817
280,Mega Volt Ignition Wires,$22.50,
281,Metric Bolts,From $0.20 to $3.50,
282,Metric Flat Washers,From $0.50 to $0.55,
283,Metric Nuts,From $0.30 to $1.00,
284,Metric Studs,From $0.40 to $1.30,
285,Metric Wavy Spring Washers,From $0.20 to $0.80,
286,Mini Spark Arrestor for Tri-Mill and Empi Exhaust,$49.90,00-3734
287,Molded Seat Padding,$59.90,
288,"Molding Clips, Early & Late",From $8.50 to $9.90,
289,"Molding Kit, Body  7 piece",From $37.50 to $74.90,
290,Mounting Tab,$6.50,00-3186
291,"Narrowed Front Beams 2"" & 4""",From $179.90 to $299.90,
292,New Cosmo 5 Wheels for Wide 5 & 4 Lug VW,$129.90,
293,New Cosmo Wheel for Porsche or Late Bus Only,$129.90,
294,New D-Series Type 3 Carb Kit,$824.90,
295,Nipple Hub Cap Logo's (4),From $32.50 to $34.50,
296,Nylock Metric Nuts,From $0.50 to $2.50,
297,Oil Cooler Conversion Seals,$2.90,111198029
298,Oil Cooler Flange Gaskets,$2.90,00-9266
299,Oil Cooler Mounts,$12.50,00-9259
300,Oil Cooler Seals (2),$2.90,021117151A
301,Oil Filler Nut Tool,$17.50,00-5102
302,"Oil Hose - High Temp/Pressure 1/2""",$2.50,00-9284
303,Oil Pump Puller,$7.50,00-5002
304,Oil Thermostat,$69.90,33-5010
305,Old Style T-Shirt remake,,
306,Pair of Brake Shoe Spriings,$2.40,98-6881
307,Parking Brake Cable,$14.50,
308,Penny Souvenir Coins,$1.00,
309,Performance Disc Brake Kit,From $399.90 to $519.90,
310,Performance Disc Brake Kit - Ball Joint,$419.90,22-6139
311,Performance Disc Brake Kit - Super Beetle,$349.90,22-6140
312,Performance Rear Disc Brake Kit - 4 Lug and Porsche/Chevy,,
313,Petcock Kit,$8.90,95-2006
314,Polished Aluminum Brake Reservoir,$58.50,16-7040
315,Polished Aluminum Master Cylinder Reservoir,$37.50,18-1015
316,Pop Out Windows,$469.90,
317,"Porsche (FUCHS) 15x4.5"", 5.5"" & 6"" Also 17"" x 7"" Chrome, Polished & Blk",From $129.90 to $279.90,
318,"Porsche Alloy Black & Silver 4.5 & 5.5 Wide 15""",$124.90,
319,Porsche Fuch Wheel Cap,$29.90,
320,Porsche Style Lug Nuts,From $17.50 to $29.90,
321,Power Pulley with belt.,$34.50,00-9116
322,Power Rules Sticker,$2.00,00-9816
323,Pre Heater Hose,From $5.50 to $8.50,
324,Pro Series I-Beam Rods,$259.90,00-8347
325,Pulley Kit,$59.90,
326,Pulley Spacer Kit,$7.50,00-8688-6
327,Push Rod Tool,$17.50,16-9600
328,Quick Release Steering Coupler,$52.50,
329,Race or Porsche Style Zinc Lug Nuts,$9.90,70-2860
330,Rack & Pinion,From $99.90 to $109.90,
331,Rack and Pinion Coupler,$14.50,
332,Rack and Pinion U-Joints,$34.50,
333,Rack Boot Clamp (Square),$3.50,16-2187-7
334,Rack Boot for HD Rack,$11.50,16-2191
335,Rack Mount,$19.90,
336,Rack Mount Plate,$14.50,425165
337,Rear Seat Assist Straps,From $8.90 to $9.90,
338,Rear Speaker Shelf,$74.50,00-4851
339,Rear Torsion Adjuster (weld-in),$79.90,501200
340,Rear Type 2 Trailing Arm Bushing,$5.50,211501121
341,Rear Urethane I.R.S. Pivot Bushings (Pair),$14.50,16-5122
342,Rear View Mirrors,From $19.90 to $22.50,
343,Rebel Wheel,$134.90,10-1120
344,Reclining Low Back Bucket Seats,From $209.90 to $239.90,
345,Remote fuel filler,$44.50,201010
346,Replacement Billet Poly Tank Cap,$29.90,17-2761
347,Replacement Filter for 17-2871 & 17-2872,$14.50,17-2874
348,Replacement Poly Gas Tank Cap,$9.50,17-2760
349,Replacement Sand Seal for Non Machined Cases,$12.90,00-8695
350,Replacement Sand Seal Only,$8.50,00-8694
351,Reservoir for Dual Master,$11.50,17-2878-7
352,Reverse Lock Out Plate,$5.50,211711149
353,Revolver Wheel,$134.90,10-1115
354,Ring Compressor  83 - 87mm & 88 - 94mm,$8.50,
355,Roller Pedal,$9.90,00-3160
356,Rolling Engine Cart,$54.90,00-5005
357,Rolling Engine Stand - VW,$99.90,00-5007
358,Rubber Flange Air Filter - Solex,$14.50,17-2978
359,Rubber Floor Mats - Lady Bug or Empi,From $34.90 to $54.90,
360,Rubber Kuhltek Floor Mats,$59.90,863910
361,Running Boards - Stock Pair,$49.90,00-6831
362,Sand Seal Power Pulley Kit,From $42.50 to $49.90,
363,Scat Gland Nut,$32.50,60025
364,Scat Serpentine Pulley Kit,From $174.90 to $189.90,
365,Scissor Jack,$49.90,98-0109
366,Seat Covers - Stock Bug by TMI,From $114.95 to $192.00,
367,Seat Rails for Low Back Reclining Seats,$109.90,
368,Shift Box,$12.50,00-3158
369,Shift Knob,From $17.50 to $18.50,
370,Shift Shaft Bushing,$2.50,111701259A
371,Shift Shaft Bushing Ring,$1.75,111701263
372,"Shocks for K & L and Ball Joint, Front and Rear.",From $29.90 to $32.50,
373,Short Bus Roof Rack,$289.90,15-2008
374,Side Flow Exhaust for Type 2 63-67,From $269.90 to $575.00,
375,Side Winder for Type 2 Late Bus,$294.50,00-3257
376,Silicone 90 Degree Spark Plug Wires,$21.50,
377,Single Vacuum Advance Distributor - Points or Electronic,From $49.90 to $74.90,
378,Small Steel Exhaust Flange Gasket,$4.50,00-3630
379,Socket - 36mm,$8.50,00-5770
380,Solid Standard Size Degree Pulley,$39.90,00-8779
381,Solid Stock Wheels - Silver & Chrome,From $52.50 to $79.90,
382,Spark Plug Wire Seperator,$2.50,113905451A
383,"Spark Plugs, Bosch & NGK",$2.00,
384,Speaker Kick Panels,$24.50,00-4850
385,Special Pulley Nut,$6.50,16-9708
386,Special Pulley Shims (5),$4.90,16-9709
387,Speedometer Cable,From $14.50 to $22.50,
388,Spindle Mount Wheel - Heavy Duty with Bearings,$129.90,10-1105
389,Spindle Nuts - Ball Joint,$9.50,
390,Spindles and Knuckles - HD King and Link,From $134.50 to $399.90,
391,Spring Plate Conversion Kit,$69.90,17-2675-0S
392,Stainless Late Type 2 & Type 4 Exhaust,$359.90,00-3771
393,Stainless Steel Beauty Rings,$79.90,
394,Stainless Steel Brake Line Kits (Hard),$64.90,
395,Stainless Steel Button Head Sheet Screws,$17.50,17-2960
396,Stainless Steel Fuel Tank,From $159.90 to $174.90,
397,Stainless Steel Gas Tank Straps,From $24.90 to $27.50,
398,Stainless Steel Running Boards - For Show,$79.90,
399,Stainless Sway Bar Clamp Kit for Stock and HD VW  Front Beams,$39.90,
400,Starter Bushing Removal Tool,$59.90,B7-0621-1
401,Steel Braided Hose - #6 & #8,From $11.50 to $12.50,
402,Steel High Clearance 8mm Nuts,$9.90,B2-5052-0
403,Steel Lug Nuts 12mm (5) 60 Degree,$16.50,70-2870
404,Steering Coupler,$8.90,111415417
405,"Steering Shaft Bearing 3/4"" or 7/8""",From $12.50 to $14.50,
406,Steering Shaft Mount,From $19.90 to $22.50,
407,Steering Wheel Adapter,$39.50,79-4115
408,"Steering Wheels 10"" - 14 3/4""",From $49.90 to $69.90,
409,Stinger Baffle,$17.50,00-3780
410,Stock & Narrowed Leaf Sets - Ball Joint and King Pin,From $109.90 to $119.90,
411,Stock Pedal Assembly,$87.50,00-4526
412,Stock Rear Urethane Bump Stop,$14.50,16-5125
413,Stock Replacement Fuel Senders,From $3.90 to $42.50,
414,Stock Steering Damper - All Standard Beetles,$32.50,113425021
415,Stock Steering Wheel,$169.90,
416,Stock Style Pedal Pads,From $3.90 to $7.50,
417,Stock Style Shifters,$29.90,
418,Stud 10x100  091 Trans,$3.50,Stud-Bus
419,Sun Visor Clips,$4.50,
420,Super Beetle Control Arm Bushing Kits,$29.90,
421,Super Beetle Lowering Kit 71-73,$299.90,9626-28-29
422,Super Beetle Lowering Kit 74 & Later,$299.90,9627-28-30
423,Super Beetle Steering Shaft,$34.50,
424,Super Deluxe Complete Longblock,"$2,990.00",
425,Super Spark Ignition Kits,From $269.90 to $289.90,
426,Sway Bar - Front Stock and Lowered,From $69.90 to $89.90,
427,Sway Bar - Rear I.R.S. or Swing,$89.90,
428,Sway Bar Clamps (Stainless),$29.90,00-9692
429,Tail Pipe Kit (Pee Shooters),$19.90,00-9915
430,Tail Pipe Tapered Tips,$38.50,00-3693
431,Tall Dual IDF Manifolds,$139.90,18-1061
432,Thing Ball Joint,$19.90,
433,Thing Exhaust (Vintage Speed),$499.90,155-203-Thing
434,Tie Rod Assembly - Type 2 68-79,$24.50,211415801F
435,Tie Rod End Chrome,$22.50,
436,Tie Rod Ends,From $9.90 to $10.90,
437,"Tie Rod Ends, Type 2 Bus 68-73",$9.95,
438,Tie Rods - Custom Aluminum Swedge,$42.50,
439,"Tires  135, 145 & 165-15 for VW's",From $79.90 to $99.90,
440,TMI Basic Series Door Panel Sets - Free Shipping,$124.95,
441,Torque Multilplier,$84.90,16-9602
442,Triple Canister Breather,$54.50,
443,T-Shirt   Newest Design,From $17.50 to $19.50,
444,Type 2 Axle Assemblies,From $84.50 to $99.90,
445,Type 2 Brake Reservoir,$17.50,98-1692
446,Type 2 Bus Rear I.R.S. Sway Bar,$119.90,00-9610
447,Type 2 Classic Wood Steering Wheel,$174.90,79-4055-6
448,Type 2 Emergency Brake Boot,$22.50,00-9958
449,Type 2 Ignition Switch,$19.90,98-2051
450,Type 2 Steering Damper,$34.50,98-4253
451,Type 2 T-Shirts,$17.50,
452,Type 3 Alternator Kit,$279.90,00-9448
453,Type 3 Block Off with Temp Sensor Hole,From $5.50 to $5.90,
454,Type 3 T shirts,$17.50,
455,Type 4 and Water Boxer Piston Kits,From $199.90 to $289.90,
456,Type 4 Bolt on Valve Covers,$84.50,00-8855
457,Type 4 Forged Crankshaft,From $399.90 to $449.90,
458,Under Dash Stero Panel,$25.50,00-3034
459,Universal Door Pulls,$32.50,15-2080
460,Universal Oil Filter Sandwich Adapter,$39.95,00-9247
461,Universal Turn Signal Switch,$29.95,16-2101
462,Universal Valve Adjustin g Tool,$52.95,00-5888
463,Urethane Beam Bushings,From $32.50 to $34.90,
464,Urethane Beam Grease Seals,From $12.90 to $14.50,
465,Urethane Front Snubber (Bump Stop) for Link Pin Beams,$14.50,16-5109
466,Urethane Rectangle Bump Stop - Pair,$12.50,16-5126
467,Urethane Spring Plate Grommets,$17.50,
468,Urethane Stacked Bump Stop,$14.50,16-5123
469,Urethane Tubular Bump Stop,$17.50,16-9547
470,Valve Guide Installer,$11.50,00-5763
471,Valve Spring Shim Sets,$6.90,
472,Vent Wing Locks,$14.50,
473,VW Pan Hardware Kit,$34.90,111898061
474,Weber Empi Sticker,$2.00,15-4041
475,Weld On Oil Filter Adapter Mount,$8.50,16-1141
476,Weld-in Hydraulic Pedals Mount,$11.50,16-1147
477,"Wheel Adapter, Wide 5 VW to 911 5/130",$49.90,00-9499
478,Wheel Adapters 4 VW to 5 VW Drum,$44.50,00-9503
479,Wheel Adapters Chevy to Wide 5 VW,$44.50,00-9502
480,Wheel Adapters Chevy Wheel to 4 Lug Drum,$59.90,00-9504
481,Wheel Adapters Wide 5 VW to 4 Lug Drum,$59.90,00-9506
482,Wheel Adpaters 911 Wheel to 4 Lug VW Drum,$64.90,00-9500
483,"Wheel Bearings and Seals, Type 2",From $4.50 to $8.90,
484,Wheel Cap Stickers,From $19.90 to $22.50,
485,Wheel Studs (4),$4.90,00-9515
486,Wheel Studs 14mm x 1.5 (5),$4.90,00-9517
487,Wheel Washers for Lug Nuts (5),$3.25,00-9509
488,Whip Lights,$44.50,
489,Wide 5 Center Caps - Sold in Pairs,$24.50,00-9623
490,Wide 5 Porsche Alloys - No Adapters,From $157.50 to $209.90,
491,Wide Rear Torsion Adjuster (weld-in),$79.90,501200W
492,Wiper Arms,$12.90,
493,Wiper Blades,$11.50,
494,2 Bolt Solid Nose Mount Only,$8.75,00-9528
495,3 Bolt Late Solid Mount,$9.25,16-9910
496,3 Bolt Late Urethane Mount,$19.90,16-9551
497,36HP Style Fan Shrouds,From $59.90 to $74.95,
498,"7"" Chrome headlight w/12v H4 55/60w bulb Each",$49.95,00-9305
499,"7"" Headlight Housings *each*",$42.90,00-9307-7
500,"Alternators - 55amp, 75amp, 90amp Plain & Chrome",From $84.90 to $199.95,
501,Aluminum Billet Foot Rest,$32.50,16-7005
502,AN Male Nipples,From $4.25 to $9.90,
503,Authentic Style Door Panels - Black Vinyl Sedans & Convertibles,From $149.90 to $169.95,
504,Axle Boot,$8.90,
505,Baja Headlight Housing,$29.90,3019-7
506,Billet Adjustable Grab Handle,$69.90,16-7001
507,Billet Grab Handle,$49.90,16-2048
508,Book - Haynes Bug/Ghia 54-79,$29.90,11-1070
509,Brass Fittings,From $3.50 to $14.50,
510,Bug to Bus Trans. Mount Kit,$54.50,00-3195
511,C.V. Joint Bolt - Type 1 & 2,$0.95,113501229D
512,Chrome and Stock Dip Stick,From $4.90 to $6.90,
513,Chrome IRS Bearing Cap - Each,$19.90,17-2699-7S
