,title,price
81,"VW HEADLINER, 68-77 BLK",58.23
82,"VISORS,T1 65-77,CNV 73-9,BLACK",44.92
83,REPLACEMENT BUG DASH 68-70,131.33
84,REP BUG DASH 71-76/71-72SB,131.33
85,PLASTIC BOOT ONLY 4450/51,3.75
86,Trigger Shifter,63.15
87,E-Brake Boot,6.15
88,Alum T Handle Shifter,63.15
89,Stock Pedal Assy,99.92
90,Chrome E-Brake Handle Kit,34.40
91,Custom Pedal Covers,13.88
92,S/S Door Piller Trim (pr),15.42
93,DOOR SILL COVERS PR.,26.58
94,DOOR PANEL CLIP (50),9.92
95,BOOT FOR DOOR PNL CLIP (50),5.42
96,HD THROTTLE CABLE KIT,20.98
97,Universal Throttle Cable,10.45
98,OIL PUMP PULLER,5.00
99,FLY WHEEL LOCK TOOL 6&12V,9.48
100,Crankshaft & Flywheel Drill Fixture,23.75
101,"H.D. ENGINE STAND, K.D",116.58
102,"S/STEEL HOSE KIT,T-1,58-64",94.00
103,"S/STEEL HOSE KIT,T-1,65-68",92.67
104,"S/STEEL HOSE KIT,T-1,69-ON",87.00
105,Crankshaft Gear Puller,99.75
106,DISTRIBUTOR DRIVE PULLER,45.75
107,Deck Height Measuring Tool,34.58
108,Valve Lifter Retaining Tool,4.58
109,End Play Measuring Tool,21.92
110,Ring Compressor 83-87mm,4.92
111,Ring Compressor 88-94mm,4.92
112,Deluxe Flywheel Seal Installation Tool,26.58
113,"CV Joint 12-Point Hex Socket, 3/8"" Drive",4.67
114,CLUTCH ADJUSTING WRENCH,5.25
115,UNIVERSAL VALVE ADJUSTING TOOL 13MM NUT,61.58
116,"STAINLESS STEEL EYEBROWS, PR",15.10
117,FRONT SIGNAL SEAL 64-69 PR.,11.08
118,FRONT SIGNAL SEAL 70-79 (PR),10.75
119,"Tail Light Seals, 62-67. PR",7.25
120,"Tail Light Seals, 68-70. PR",7.92
121,"Tail Light Seals, 71-72. PR",9.58
122,LICENSE LIGHT SEAL 64-66,3.40
123,"BULK LICENSE LIGHT SEAL 67-79,EA",3.40
124,LICENSE LIGHT SEAL 58-63,4.33
125,FENDER BEADING KIT (pr),8.55
126,Fender Beading Kit 25ft,11.58
127,S/S LOUVERED RUNNING BOARDS PR,77.50
128,HEAVY DUTY RUNNING BOARDS PR,59.92
129,"Billet Oil Filler, Grooved Cap w/vent",38.23
130,"Billet Oil Filler, Smooth Cap w/vent",38.23
131,69MM COUNTER-WEIGHTED CRANKSHAFT,350.65
132,8MM XTRA LONG FLYWHEEL DOWEL PINS (8),15.83
133,Crankshaft 8-Hole Paper Gasket (10),3.75
134,"82MM 4340 Crankshaft,VW JOURNAL",331.58
135,"H-BEAM ROD SET,5.400""VW (4)",314.92
136,"I-BEAM ROD SET,5.394""VW (4)",231.73
137,Billet Dipstick,9.92
138,Bulk Stock Push Rod Tube (ea),2.23
139,Stainless Windage Pushrod Tubes (8),66.98
140,BREATHER KIT (CAST ALUMINUM),42.07
141,Red Standard Size Pulley Kit,71.58
142,"SUPER DLX ENGINE KIT, RED",116.58
143,"SUPER DLX ENGINE KIT, BLUE",116.58
144,BLACK DOGHOUSE SHROUD W/O DUCTS,69.17
145,"Gauze Element Oval 3 1/2"" Filter",14.92
146,ENGINE TRIM KIT YELLOW,36.58
147,"WIRE SEPARATOR KIT, CHROME",5.42
148,"DIST CAP FOR .009, CLEAR",8.63
149,"DIST CAP FOR .009, RED",8.25
150,"DIST CAP FOR .009, BLUE",8.63
151,"DIST CAP FOR .009, GOLD",6.58
152,"1 3/4"" HIGH AIR CLEANER WEBER IDF,EMPI HPMX",21.58
153,"BRAIDED LINE 1/4""ID X 25'",78.57
154,Ram Air Steel Fan Shroud,73.25
155,BLACK SINGLE PORT SHROUD PR.,24.92
156,"CHANNEL GASKETS FOR 8852 Valve Covers, (PR)",8.40
157,CHROME 36HP Stock FAN SHROUD w/o Ducts,69.92
158,"BLACK DOGHOUSE TINS, 2 PCS.",29.17
159,36hp Doghouse Shroud w/o Ducts,86.58
160,36hp Doghouse Shroud w/Ducts,93.25
161,Doghouse Oil Cooler Adapter,34.40
162,Doghouse Tin Chrome 2-pc,34.92
163,Fan Hardware Hub Kit,13.32
164,Chrome Alternator/Generator Strap,5.27
165,Vented Oil Filler Tube,13.32
166,Chrome Dist. Clamp,3.05
167,Red #s Alum. Degree Crankshaft Pulley,36.58
168,Generator Pulley Cover Red,4.58
169,Generator Pulley Cover Blue,4.58
170,"GEN. PULLEY COVER, GOLD/YELLOW",4.58
171,Oil Dipstick Adapter,7.52
172,Chrome Sump Plate,9.58
173,Chrome Oil Filler & Cap,11.65
174,BLACK DUAL PORT CYLINDER COVERS,24.92
175,Alt/Gen Stand Chrome,34.40
176,Air Cleaner,12.55
177,"GAUZE ELEMENT RECT 1 3/4""",9.17
178,SS Gen Cover,8.25
179,"Air Cleaner Stock VW 3"" High",18.25
180,Chrome Dipstick Stock Length,5.27
181,Chrome Alt/Gen Backing Plates 3-pc,13.25
182,Dual Port Chrome Cyl. Shroud (pr),29.92
183,S/S COIL COVER W/BRACKET,5.97
184,FUEL PUMP BLOCK-OFF w/Boss,4.92
185,Quick Change Pushrod Tubes w/Seals,71.58
186,Fuel Filter Box of 10,11.92
187,FUEL PRESSURE REGULATOR,26.58
188,Fuel Filter Glass,7.52
189,Fuel Shut-Off Valve,9.08
190,Black #s Alum. Degree Crankshaft Pulley,36.58
191,Chrome Bolt & Washer Set,5.65
192,Chrome Alt/Gen Nut and Spacer,6.23
193,1 1/2 Quart Oil Sump,95.73
194,3 1/2 Quart Oil Sump,181.98
195,OIL PUMP COVER ONLY,3.58
196,Bolt on Aluminum Valve Covers,31.58
197,12-Volt Pulley Chrome,9.92
198,CHROME AIR INTAKE SCREEN,9.92
199,PRESSURE ADJUSTABLE KIT,9.92
200,PRESSURE BOOSTER KIT 70-ON,4.08
201,OIL COOLER BYPASS ADPTR,13.32
202,OIL FILTER ADAPTER PORTS UP,11.58
203,BRASS T-ADAPTER,11.40
204,Flat Cam Oil Pump w/ Filter,88.07
205,Dish Cam Oil Pump w/ Filter,88.07
206,"3/8"" Male w/3/8"" Hose Barb (2)",4.92
207,3/8 THREAD X 1/2 HOSE BARB,5.65
208,"1/2"" Male w/3/8"" Barb (2)",7.33
209,"1/2"" Male 1/2"" Barb Fitting (2 pk)",6.58
210,OIL PUMP COVER (ALUMINUM),10.83
211,"90 Deg. 3/8"" Male 3/8"" Female (2)",11.40
212,"90 Deg. 1/2"" Male 1/2"" Female (2)",13.25
213,CHROME HP-1 HIGH PRESSURE OIL FILTER,11.65
214,Universal Oil Sandwich Adapter,46.58
215,"LATE BLOCK-OFF SEAL, Oil Cooler Seal 10mm",0.53
216,Oil Cooler Mounting Dampers (4),11.58
217,"Hi-Temp Oil Hose 3/8"" x 1ft",2.38
218,"Hi-Temp Oil Hose 1/2"" x 1ft",2.78
219,1/2 FEMALE SWIVEL X 1/2 HOSE BARB  (2),9.92
220,ELECTRIC FAN KIT W/COOLER,274.58
221,Competition Oil Cooler & Fan Kit,169.92
222,"7"" Head Light w/H4 bulb",58.25
223,Universal Ignition Switch,10.45
224,"7"" ROUND H4 HEADLIGHT",19.07
225,Micro Mini Light w/Amber Lens,11.58
226,Mini Amber Turn/Park Dual Filament,13.25
227,Battery Switch,11.58
228,WIPER VOLTAGE DROP 12V TO 6V,11.40
229,Spiro Pro Wire Set Blue,54.92
230,Spiro Pro Wire Set Red,54.92
231,SILICONE WIRES YELLOW COPPER,18.25
232,Silicon Wires Blue Copper,19.92
233,Bosch Blue Coil,88.25
234,Silicon Wires Red Copper,19.92
235,"UNIVERSAL ELECTRONIC IGNITION. KIT, T-1",41.58
236,Bosch 009 Distributor Points,11.83
237,Bosch 009 Distributor Condensor,11.58
238,Bosch 009 Distributor Cap,21.58
239,Bosch Distributor Rotor,14.58
240,EMPI 55A ALTERNATOR,134.07
241,Alt Kit Chrome 55 amp,218.40
242,Alt Kit Chrome 75 amp,249.07
243,EMPI CHROME 75A ALTERNATOR,146.58
244,Chrome License Plate Light,19.92
245,Universal Wiring Harness,99.57
246,"12"" GROUND STRAP",12.17
247,GM Style Fuse Box,13.25
248,"CHROME HEADLIGHT RIM, PR.",26.58
249,Studs m12 - 1.5 to 7/16 (5) Chevy,7.00
250,"TEARDROP TAIL LIGHTS, PR",52.50
251,"H.D. OFF ROAD ROUND TAIL LIGHT RED LENS, PR",29.90
252,Chevy to VW Adapter (pr),72.73
253,VW 5 Lug Wheel to 4 Lug VW Steel Adapter (PR) 12mm x 1.5,76.57
254,LUG BOLT FLAT WASHER (5),1.75
255,Studs m12 - 1.5 both ends (5),4.80
256,"Wheel Studs, M14-1.5, Both Ends, Set of 5",4.17
257,Engine Locknut Kit,6.58
258,TRANS/AXLE LOCK NUT KIT,7.57
259,Complete Engine Hardware,26.73
260,LK 8MM COPPER NUT Set of 8,3.75
261,TRANS/AXLE MOUNT KIT,24.17
262,CHROME MAG LUG NUT 12MMX1.5(5),5.42
263,Urethane Mounting Kit 3-pc,28.25
264,Padded Trans Support Kit,68.25
265,REAR SUPPORT KIT (9541),40.25
266,S/A Chrome Spring Plate Cap,13.25
267,Engine Mounting Bolt Kit,6.58
268,"CHROME LUG BOLT, 12MM X 15MM, SET OF 5",14.58
269,"CHROME LUG BOLT,12MM X 20MM,LONG,SET/5",16.58
270,"CHROME LUG BOLT, 14MM, SET OF 4",10.92
271,IRS Chrome Spring Plate Cap,21.58
272,Front L/P Rear All Blk/Chr Coil Shock (PR),66.58
273,BJ COIL-OVR. SHKS.W/CH.SPG. PR,81.58
274,Wheel Adapter Offset Stud,5.00
275,Wheel Adapter Stud,4.17
276,"SWAY BAR,SEDAN RR IRS,69-ON",100.75
277,"SWAY BAR, SEDAN FT 66 &LATER",70.50
278,"CHROME WIDE 5 CENTERCAP, PR.",28.65
279,"EMPI SHOCK, B/J LOWERED",32.48
280,"Front Gas Shock, BJ, Stock Height",36.32
281,"Gas Shock, Front Link Pin, Rear All, Stock Height, Each",36.32
282,"Sway Bar CLAMP SET,LP/BJ T1 S-BAR (4)",24.92
283,Chrome Lug Bolt 12mm,17.92
284,WINDOW CHANNEL PR.,36.33
285,Engine Gasket Set,16.58
286,"REAR AXLE SEAL KIT,EA",3.08
287,Heater Box Repair Pipes (pr),3.67
288,TAIL PIPE KIT,23.25
289,Oil Screen Kit,8.33
290,Stock Size Pulley Belt,5.27
291,DELUXE SWING AXLE BOOT BLUE PR.,18.25
292,DELUXE SWING AXLE BOOT  RED PR.,18.25
293,DELUXE SWING AXLE BOOT YELLOW PR,18.25
294,DELUXE SWING AXLE BOOT BLACK PR,18.25
295,"White Spoke 5 Lug 15"" x 10"" Wide Wheel",131.42
296,"CENTER CAP, SPINDLE MOUNT WHEELS, PR",14.58
297,"EMPI HUBCAP PULLER W/LOGO,PR",53.57
298,"DELUX ALUM. WHEEL CAP, PR",82.50
299,VW TECH BOOK 68-79 BUS,57.92
300,REPAIR MANUAL BUS 68-79,31.00
301,"WINDOW CRANK HANDLE 68-ON,PR.",11.58
302,"LADY BUG MATS, COLOR FRT.PR.",53.58
303,"EMPI LOGO MATS, FRONT PR.",66.58
304,REPLACED BY 15-3018,0.00
305,"VINTAGE SATIN BLK RUNNING BOARDS, PR",133.25
306,"RUNNING BOARDS GLOSS BLACK w/POLISHED RIBS & POLISHED EDGE,PR",133.25
307,Buggy Light Pole,67.92
308,Base Mount for Light Pole,16.58
309,"FLAT MOUNT TAB,5/16"" HOLE, 4",6.80
310,"90 DEGREE FORMED GUSSET, 4",13.25
311,Bolt-In Mount for P/N: 3147 Rack & Pinion,61.58
312,ALUMINUM BILLET STEERING DAMPER MOUNT,36.58
313,"BILLET CLAMP ON MIRROR,1-1/2""",38.25
314,UNIVERSAL TURN SIGNAL SWITCH,33.25
315,Conversion Stub Axle Type 1 to Type 2 Joint 8mm Threads,91.58
316,Std Size Stub Axle Typ 1  8mm Threads,91.58
317,"Axle Spacer Kit  IRS, 6 pcs",29.25
318,"Typ 1 CV Bolt M8 x 1 15/16"", 12 Pt Int. (6)",5.27
319,Stock Zinc 36mm Axle Nut,4.70
320,"DUAL PEDAL W/ROLLER,POLISHED",316.15
321,TURN BRAKE SINGLE HANDLE 3/4 UPRIGHT POLISHED,104.17
322,TURN BRAKE SINGLE HANDLE 3/4 ANGLED POLISHED,104.17
323,EMPI CLUTCH SLAVE KIT,91.90
324,"HI-RISE ALUM.CONSOLE,NO HOLE",128.32
325,Billet Throttle Pedal Assembly,41.58
326,"URETHANE BUSHING, BUGGY SHIFT BOX",3.52
327,"URETHANE SHIFT COUPLER,EARLY STYLE",13.32
328,Urethane Shift Coupler Late Style,15.23
329,H.D. Urethane Shift Coupler Late,24.82
330,"FRONT SNUBBER L/PIN, PR.",14.92
331,Urethane IRS A-Arm Pivot Bushing Pair,14.92
332,"REAR SNUBBER ALL BEETLE, PR.",16.58
333,"Urethane Knobby Bushings - 1 7/8"" I.D., Pair",19.92
334,"Urethane Knobby Bushings - 2"" I.D., Pair",19.92
335,"Urethane Smooth Bushings - 1 3/4"" I.D., Pair",13.17
336,"Urethane Smooth Bushings - 1 7/8"" I.D., Pair",19.92
337,"URE.L/P BEAM GREASE SEALS,4",14.92
338,"URETHANE BUSHING KIT, OUTER ONLY, BJ",13.32
339,"URETHANE BUSHING KIT,INNER & OUTER, BALL JOINT",30.83
340,"Urethane Axle Beam Tube Seals, Type1 , BJ",14.58
341,Flip Top Fuel Filler,38.25
342,Polished Alum. Billet GPS Mount,38.42
343,Aluminum Billet Steering Box Cover,42.07
344,Aluminum Billet Steering Box Mount,17.15
345,"FASTENER TAB W/SPRING, EACH",1.92
346,Billet Outward Facing Exhaust Flange Oil Filter Mount,18.25
347,"`ALUMINUM MIRROR REAR VIEW,1 1/2""RADIUS",46.58
348,"AL. MIRROR SIDE VIEW,1 1/2""RAD.",41.58
349,Billet Oil Sump Plate Kit,24.58
350,Elect. Speedo to Cable Conversion Kit,116.25
351,009 Distributor Condensor,6.58
352,"OFFROAD DUAL PORT TIN,CHROME,PR",34.92
353,"BATTERY BOX 5-1/8""X7-7/8""",20.98
354,Main Bearing Dowel Pin Set (5),3.67
355,Crankshaft Spacer,13.32
356,Billet Cam Plug w/O-Ring,8.22
357,"HEX OIL RELIEF SPRNG PLUG,PR",9.48
358,Urthane Front Mount Late Model 3-bolt Cone to Early Chassis,13.17
359,"ROLLER PEDAL CABLE ""Y""  BRACKET",11.40
360,20.6mm Dual Circuit Master Cylinder,38.23
361,"QUICK DISCONNECT,STEERING,7/8""",28.25
362,"U-Joint for Rack & Pinion, 5/8""-36 Splines on both ends (Chrome)",29.17
363,Torque Multiplier,104.17
364,"BODY LIFT RISER KIT,TYPE 1,3""",227.50
365,HD ALUM SIDE COVER S/A W/BOWDEN TUBE BRACKET,61.58
366,Bolt on Bowden Tube Bracket,5.50
367,HD ALUM SIDE COVER IRS,52.75
368,Clutch Cable Arm Forged,9.92
369,"ALUM WHEEL SPACER,4x130/5x130,PR 3/8""",44.42
370,Chrome Steering Arm LS/ST 46-65,24.42
371,CHROME STEERING ARM SS/ST,28.25
372,Chrome Steering Arm SS/LT 69-77,32.48
373,Chrome Steering Shaft Coupler,26.73
374,"HD SPRING PLATES S/A 21-3/4"",PR",92.00
375,IRS Spring Plate 21 3/4 (pr),76.08
376,"ADJUSTABLE SPRNG PLATE S/A 21-3/4"",PR",121.33
377,"Adj. Spring Plates IRS 21-3/4"" (PR)",106.54
378,"ADJ SPRING PLATE IRS 26-9/16"",PR",106.58
379,"CHROME BEARING CAP,IRS,PR",42.05
380,TAB SEAT BELT(4),4.58
381,"Shift Rod Adjuster, Late Model Coupler",8.15
382,UNIVERSAl TYPE 1 SHIFT SHAFT/ROD,17.42
383,GRAB HANDLE 90 DEGREE Raw Steel,9.02
384,GRAB HANDLE 90 DEGREE Chrome,12.42
385,BILLET PEDAL SLIDE,130.67
386,"HD SPRING PLATE IRS 24-11/16"",PR",76.92
387,Intake Manifold 30/34 Pict,91.58
388,"Oil Cooler, Type 2/4, 1700-2000cc",83.25
389,WIPER MOTOR 12 VOLT,69.82
390,"HYD. CLUTCH SLAVE BKT,EA",16.58
391,Front LP / Rear All Chrome Coil Shocks,86.58
392,"HEIM END 3/8""-24THREAD, 3/8 BALL",6.58
393,Chrome Heat Riser Block Off Kit,8.33
394,IRS Pivot Mount Bolt,6.25
395,IRS Pivot Bolt Washer,1.58
396,Trans Cradle to Yoke Bolt,4.12
397,Trans Cradle Bolt Washer,1.63
398,BUTTON STUD NON-EJECT SHORT,5.33
399,1 Quart Oil Sump,141.58
400,Dual Circuit Reservoir,11.88
401,"""J-Hook"" Billet Support Bracket, 1 1/2"", Set of 5",45.75
402,"""J-Hook"" Billet Support Bracket, 1 3/4"", Set of 5",45.75
403,POL ALM DISTRIBUTOR CLAMP,26.65
404,"10"" Stainless Steel Fuel Tank Bracket",26.58
405,"POLY PLUG F/DRIVE FLANGE BUG,PR",7.50
406,Poly Plug F/Drive Flange Bus (pr),6.58
407,"8""  Stainless Steel Fuel Tank Bracket",24.92
408,Oil Filter Breather Box,83.25
409,H.D. Stock Rocker Arm Kit,149.92
410,"S/S BUTTON HEAD SHROUD SCREW,34 PCS",16.25
411,Pertronix Ignitor T1,124.17
412,Petronix Ignitor II,177.75
413,"REPLACEMENT Disc Brake PAD SET 73-79 Bus, F/18-1011(4)",26.58
414,LOW MOUNT DUAL ZOOM W/CHROME MUFFLER,291.58
415,"Replacement Buggy Seal for Windshield, 10ft",18.25
416,"Replacement Buggy Bottom Seal for Windshield, 44 inch",26.58
417,"SERPENTINE PULLEY KIT,RED",284.92
418,Conversion Brake Fitting,7.57
419,Aluminum Buggy Mirror Bracket,15.23
420,Buggy Windshield Mounting Kit,41.58
421,Swivel Valve Adjusters,36.32
422,HP 1.25 Rocker Arm w/Bushing (pr),185.82
423,Rocker Arm Stand Shim Kit,8.25
424,ALUMINUM CAM GEAR,29.92
425,"CAM GEAR BOLTS, 3 PCS.",3.25
426,".010"" 90.5/92mm Cylinder Shims (4)",9.92
427,".020"" 90.5/92mm Cylinder Shims (4)",9.92
428,".030"" 90.5/92mm Cylinder Shims (4)",9.92
429,".040"" 90.5/92mm Cylinder Shims (4)",9.92
430,".060"" 90.5/92mm Cylinder Shims (4)",9.92
431,".090"" 90.5/92mm Cylinder Shims (4)",9.92
432,94 CYL SHIMS .010 SET,8.25
433,94 CYL SHIMS .020 SET,8.25
434,94 CYL SHIMS .030 SET,8.25
435,94 CYL SHIMS .040 SET,9.92
436,94 CYL SHIMS .060 SET,9.92
437,94 CYL SHIMS .090 SET,8.25
438,BJ Front Beam Adj,17.15
439,LP Front Beam Adj,17.15
440,Camber Adj.,24.92
441,"Left Chrome Tie Rod, Type 1, thru 65",32.48
442,Left Chrome Tie Rod 68-77,33.25
443,"Right Chrome Tie Rod, Type 1, thru 65",40.15
444,Right Chrome Tie Rod 68-77,40.15
445,4X130 Disc Brake Rotor IRS,64.92
446,"Rear Brake Rotor  5/130 & 5/4.75"" Short Spline, SA/IRS",96.58
447,Front Disc Brake Kit BJ 4x130,413.90
448,Front BJ Bearing & Seal Kit,26.58
449,"2 1/2"" Drop Spindles, BJ,Drum Brake, 66-77, Pr",116.58
450,Rear Disc Brake 4 x 130 IRS w/o E-Brake,266.58
451,"F/DISC KT,L/PIN,NO DRP,5/205",520.00
452,"FRONT DISC KT,B/J,NO DROP,5/205",520.00
453,"REPLACEMENT Brake Pad Set for P/N: 22-2881/2882/2886/2887/2923/2924, Set of 4",24.82
454,REPLACEMENT BRAKE PAD SET F/22-2865/70(4),26.73
455,"REAR DISC KIT,5/205,E-BRAKE,SWING AXLE",408.33
456,"REAR DISC KIT, 5x130 & 5x4.75 S/A 58-67, SWING AXLE",266.58
457,Rear Disc Brake IRS w/o E-Brake 5x130 & 5 x 4.75,373.65
458,Rear Disc Brake Kit w/E Brake 5x130 & 5x4.75 S/A 58-67,424.92
459,Rear Disc Brake 5x130/5 x 4.75 IRS w/E Brake,373.17
460,"2 1/2"" drop spindle 5/205 front disc brake kit",574.90
461,"2"" Drop Spindle Type 2 Bus 68-79",299.92
462,"2 1/2"" Drop Spindles, BJ,Disc Brake 4/130 & 5/130 , 66-77, Pr",99.58
463,Front Rotor BJ 5 x 130 & 5 x 4.75 Chevy,96.58
464,"REPL PAD SET 22-2959B/60B(4) 22-2905, 22-2906, 22-2907",23.25
465,Front Disc Brake Kit BJ 5x130 & 5x4.75,359.83
466,BJ Front Disc Brake Kit 4x130,243.25
467,BJ Front Disc Brake Kit 5x130 & 5x4.75,354.48
468,L/P Disc Brake Conversion Kit,283.25
469,L/P FRONT DISC BRAKE CONV. KIT Double Drilled 5x130 & 5x 4.75,324.92
470,Rear Rotor Spacer,4.92
471,"QUICK BLEEDER 7MM X 1.0,PR.",21.58
472,"QUICK BLEEDER 8MM X 1.0,PR.",21.58
473,"QUICK BLEEDER 10MM X 1.0,PR.",21.58
474,"BULK E-BRAKE CABLE FOR 22-2913,EA",21.58
475,"Left Rear Caliper, w- Ebrakes, Side Inlet w/o Pads",133.25
476,EMPI CAM KIT,153.23
477,EMPI CAM KIT  Hot Street/Off Road Comp,125.42
478,"EMPI HD OIL PUMP, 8MM, DISH CAM",51.65
479,"EMPI HD OIL PUMP, 8MM, FLAT CAM",51.65
480,EMPI STEEL 8MM OIL PUMP COVER,21.58
481,Billet Fuel Block off,15.23
482,Clutch Installation Kit,9.92
483,T/O Release Bearing to 70,15.23
484,HD Throw Out Bearing 71-on,15.23
485,180MM CLUTCH DSC RIGID HUB,24.82
486,CLUTCH COVER PRESSURE PLATE  180MM,59.32
487,Red Flywheel Seal,4.17
488,"Oil Thermostat 3/8"" w/Hardware",84.23
489,INLINE-8 FAN THERMOSTAT,40.15
490,Electronic Fuel Pump w/Fitting Kit,69.92
491,"SOLEX CARB IDLE JET,.060 EACH",4.58
492,"SOLEX CARB MAIN JET, 130 EA",4.17
493,Single HPMX LINKAGE KIT ONLY F/43-5208,26.58
494,1.15 HPMX Main Ket,4.58
495,1.25 HPMX Main Jet,4.58
496,1.30 HPMX Main Jet,4.58
497,1.35 HPMX Main Jet,5.65
498,1.55 HPMX Main Jet,5.65
499,"ACC.PUMP JET, .500",8.17
500,1.75 Air Jet HPMX,5.65
501,.200 Air Jet HPMX,5.65
502,.52 Idle Jet HPMX,4.58
503,.57 Idle Jet HPMX,4.58
504,.60 Idle Jet HPMX,5.65
505,.65 Idlle Jet HPMX,4.58
506,.70 Idle Jet HPMX,4.58
507,.55 Idle Jet HPMX,5.65
508,Carb Sync Tool,54.58
509,INTK/EXH NUTS SMALL DIA (EA),0.47
510,EMPI EPC32/36F Progressive Carburetor w/Electic Chock,266.67
511,Single HPMX Carb Kit,507.82
512,Dual Carb 40mm HPMX Kit,764.92
513,Dual Carb 44mm HPMX Kit,804.90
514,CERAMIC SINGLE MUFFLER FOR 3102 EXTRACTOR,160.60
515,"BUGGY DUAL EXHAUST W/O HEATER,CERAMIC COATED",354.48
516,"DUAL EXHAUST W/O HEATER,CERAMIC COAT",291.23
517,"2-TIP EXH. T1,C-COAT",364.92
518,"OFF-ROAD EXHAUST, 1 1/2""TUBE,CERAMIC",252.08
519,"1 1/2""C0MPETITION EXHAUST ,W/U-BEND,CERAMIC",291.58
520,Buggy Headers Ceramic w/Inserts,337.23
521,POLYETHYLENE SEAT-HIGH BACK,67.50
522,Poly High Back Black Seat Cover,44.92
523,"SEATCOVER,BLK&YEL For 62-2300 Poly Seat",44.92
